tipo,latitude,longitude,bright,date,admin2,admin3,country_code,country_es
24h,39.08044,9.01554,306.01, 3 de agosto,Sarroccu/Sarroch,Sardigna/Sardegna,IT,Italia
24h,38.19654,15.66753,329.95, 3 de agosto,Reggio di Calabria,Calabria,IT,Italia
24h,38.19286,15.66683,314.8, 3 de agosto,Reggio di Calabria,Calabria,IT,Italia
24h,37.67864,13.04925,338.17, 3 de agosto,Santa Margherita di Belice,Sicilia,IT,Italia
24h,37.47252,14.94116,306.12, 3 de agosto,Belpasso,Sicilia,IT,Italia
24h,37.38741,14.64021,328.34, 3 de agosto,Ramacca,Sicilia,IT,Italia
24h,37.3867,14.64644,306.52, 3 de agosto,Ramacca,Sicilia,IT,Italia
24h,37.38287,14.64584,327.42, 3 de agosto,Ramacca,Sicilia,IT,Italia
24h,37.38357,14.6396,314.59, 3 de agosto,Ramacca,Sicilia,IT,Italia
24h,37.43537,13.42142,306.96, 3 de agosto,Cattolica Eraclea,Sicilia,IT,Italia
24h,37.25684,14.87795,303.45, 3 de agosto,Lentini,Sicilia,IT,Italia
24h,37.21156,15.16996,310.04, 3 de agosto,Augusta,Sicilia,IT,Italia
24h,37.12213,14.42135,307.19, 3 de agosto,Niscemi,Sicilia,IT,Italia
24h,37.12483,14.42131,310.45, 3 de agosto,Niscemi,Sicilia,IT,Italia
24h,63.92041,-22.2303,304.68, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91182,-22.25898,296.7, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91342,-22.22904,309.01, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91414,-22.2155,297.35, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,59.6467,6.35917,328.4, 3 de agosto,Sauda,Rogaland,NO,Noruega
24h,59.64556,6.36574,307.23, 3 de agosto,Sauda,Rogaland,NO,Noruega
24h,51.69215,15.97948,326.86, 3 de agosto,gmina Żukowice,województwo dolnośląskie,PL,Polonia
24h,51.1846,16.11558,297.03, 3 de agosto,Legnica,województwo dolnośląskie,PL,Polonia
24h,52.1666,10.42716,299.31, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,52.16415,10.41831,308.37, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,52.16172,10.40945,315.9, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,52.16014,10.41561,309.33, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,52.15771,10.40675,328.89, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,52.1537,10.40404,321.71, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,52.16187,10.41684,315.14, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,52.15942,10.40794,312.2, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,52.15786,10.41413,307.25, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,52.15541,10.40522,328.16, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,52.15139,10.40251,326.93, 3 de agosto,Salzgitter,Niedersachsen,DE,Alemania
24h,48.60812,21.17448,301.32, 3 de agosto,Veľká Ida,Košický kraj,SK,Eslovaquia
24h,48.61034,21.17835,296.6, 3 de agosto,Košice,Košický kraj,SK,Eslovaquia
24h,51.27078,11.65983,303.32, 3 de agosto,Unstruttal,Sachsen-Anhalt,DE,Alemania
24h,52.4935,4.6077,301.76, 3 de agosto,Beverwijk,Noord-Holland,NL,Países Bajos
24h,52.4923,4.61385,298.5, 3 de agosto,Beverwijk,Noord-Holland,NL,Países Bajos
24h,52.48582,4.59009,297.01, 3 de agosto,Velsen,Noord-Holland,NL,Países Bajos
24h,52.484610000000004,4.59623,307.97, 3 de agosto,Velsen,Noord-Holland,NL,Países Bajos
24h,53.68458,-6.3897,296.05, 3 de agosto,NA,County Meath,IE,Irlanda
24h,48.45704,17.19049,302.57, 3 de agosto,Rohožník,Bratislavský kraj,SK,Eslovaquia
24h,48.14725,16.49751,297.28, 3 de agosto,Gemeinde Schwechat,Niederösterreich,AT,Austria
24h,48.76741,11.5855,304.18, 3 de agosto,Vohburg an der Donau,Bayern,DE,Alemania
24h,49.53146,8.41652,310.96, 3 de agosto,Ludwigshafen am Rhein,Rheinland-Pfalz,DE,Alemania
24h,49.526,8.41998,310.5, 3 de agosto,Ludwigshafen am Rhein,Rheinland-Pfalz,DE,Alemania
24h,48.77713,10.69847,295.61, 3 de agosto,Harburg (Schwaben),Bayern,DE,Alemania
24h,45.98609,17.73717,307.31, 3 de agosto,Szigetvári járás,Baranya vármegye,HU,Hungría
24h,45.51013,10.24811,304.93, 3 de agosto,Brescia,Lombardia,IT,Italia
24h,45.64595,1.3695600000000001,302.16, 3 de agosto,Limoges,Nouvelle-Aquitaine,FR,Francia
24h,63.92312,-22.20592,310.64, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.92209,-22.19769,308.61, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.92105,-22.18949,302.6, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91978,-22.20809,347.81, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91875,-22.19985,353.32, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91772,-22.19165,318.91, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91645,-22.21029,332.36, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91541,-22.20204,354.73, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91438,-22.19381,325, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91312,-22.21251,296.36, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91208,-22.20424,319.17, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.91104,-22.19599,300.29, 3 de agosto,NA,Suðurnes,IS,Islandia
24h,63.89978,-22.22139,296.27, 3 de agosto,NA,Suðurnes,IS,Islandia
